,Product Name,Type,Specific Type,Payment Method,Vendor,Ships From,Ships To,Order Quantity,Price,IDENTIFIER
product 0,4MMC VERY POTENT MEPHEDRONE MIAUW II PRE-BAN QUALITY,Stimulants,4-MMC Mephedrone,Escrow,0ldAmsterdam,Germany,Worldwide,2g,10,0ldAmsterdam
product 1,BOLIVIAN COCAINE STRAIGHT FROM THE BRICK II HIGH QUALITY,Stimulants,Coke,Escrow,0ldAmsterdam,Germany,Worldwide,1g,50,0ldAmsterdam
product 2,LSD ALBERT HOFMANN 250UG II HIGH DOSED BLOTTERS,Pyschedelic,LSD,Escrow,0ldAmsterdam,Germany,Worldwide,5,10,0ldAmsterdam
product 3,XTC BLUE EA-SPORTS 300MG II HARD PRESSED PILLS,Ecstasy,Pills,Escrow,0ldAmsterdam,Germany,Worldwide,5,10,0ldAmsterdam
product 4,PURE SPEED PASTE AMPHETHAMINE II VERY POTENT II PURE A-OIL,Stimulants,Speed,Escrow,0ldAmsterdam,Germany,Worldwide,2g,10,0ldAmsterdam
product 5,KETAMINE S-ISOMER NEEDLE TYPE II PURE UNCUT S-KET,Disassociatives,Ketamine,Escrow,0ldAmsterdam,Germany,Worldwide,1g,5,0ldAmsterdam
product 6,LSD ANONYMOUS 250UG II HIGH DOSED BLOTTERS,Pyschedelic,LSD,Escrow,0ldAmsterdam,Germany,Worldwide,5,10,0ldAmsterdam
product 7,2CB SUPER MARIO 30MG 2CB II HARD PRESSED PILLS,Pyschedelic,2C-x,Escrow,0ldAmsterdam,Germany,Worldwide,5,10,0ldAmsterdam
product 0,Orange Sherbert di Barney's farm,Cannabis,Buds & Flowers,Escrow,1Elle,Italy,Europe,2g,30,1Elle
product 1,Gorilla Glue 2,Cannabis,Buds & Flowers,Escrow,1Elle,Italy,Europe,5g,60,1Elle
product 2,Sim Anonime SCONTO DEL 50%,Cannabis,Hash,Escrow,1Elle,Italy,Europe,1,10,1Elle
product 3,AMNESIA  -50% OFFERTA,Cannabis,Buds & Flowers,Escrow,1Elle,Italy,Europe,10g,100,1Elle
product 4,PINEAPPLE PUNCH,Cannabis,Buds & Flowers,Escrow,1Elle,Italy,Europe,2g,40,1Elle
product 5,Ice o Lator di AK47,Cannabis,Concentrates,Escrow,1Elle,Italy,Europe,1g,35,1Elle
product 6,Gummies THC DELTA,Cannabis,Edibles,Escrow,1Elle,Italy,Europe,1,15,1Elle
product 7,HUMMINGBIRD BRAND DRIVE HASH,Cannabis,Hash,Escrow,1Elle,Italy,Europe,2g,35,1Elle
product 0,Cookies Gelato,Cannabis,Buds & Flowers,Escrow,420bob,Finland,Finland,3g,45,420bob
product 1,Trimmings / Sugar leaves,Cannabis,Shake & Cuttings,Escrow,420bob,Finland,Finland,10g,50,420bob
product 2,Kief,Cannabis,Hash,Escrow,420bob,Finland,Finland,3g,60,420bob
product 3,Bubblegum,Cannabis,Buds & Flowers,Escrow,420bob,Finland,Finland,3g,45,420bob
product 0,B974 30 mg ADDERALL FOR SALE!!!!,Stimulants,Smartdrugs,Escrow,Abraxis,United States of America,United States of America,100,92,Abraxis
product 1,30 MG DP INSTANT RELEASE ADDERALL FOR SALE!!!!,Stimulants,Smartdrugs,Escrow,Abraxis,United States of America,United States of America,100,92,Abraxis
product 0,*BEST QUALITY* Adderall AD30 Trust Us! Best on the market!,Stimulants,Smartdrugs,Escrow,addyrus,United States of America,United States of America,100,147,addyrus
product 1,*BEST QUALITY* Adderall DP30 Trust Us! Best on the market!,Stimulants,Smartdrugs,Escrow,addyrus,United States of America,United States of America,100,147,addyrus
product 2,Adderall B974 30mg IR (Instant Release) - Pharma Grade -SALE,Stimulants,Smartdrugs,Escrow,addyrus,United States of America,United States of America,100,147,addyrus
product 0,Aduvanz 70mg (lisdexamphetamine),Stimulants,Pills,Escrow,ADHDfaen,Norway,Norway,10,157,ADHDfaen
product 0,10-300pc ⚽ II BLUE PUNISHER XTC 265MG II DE-EU SHIPPING,Ecstasy,Pills,Escrow,AJAXAMSTERDAM,Germany,Europe,10,1,AJAXAMSTERDAM
product 1,1-50GR ⚽ II DRY SPEED SULPHATE II DE-EU SHIPPING,Stimulants,Speed,Escrow,AJAXAMSTERDAM,Germany,Europe,1g,1,AJAXAMSTERDAM
product 2,1-50GR ⚽ II PURE UNCUT AFGHAN HEROIN II DE-EU SHIPPING,Opiates,Heroin,Escrow,AJAXAMSTERDAM,Germany,Europe,1g,15,AJAXAMSTERDAM
product 3,1-50GR ⚽ II CRYSTAL METH ICE II DE-EU SHIPPING,Stimulants,Meth,Escrow,AJAXAMSTERDAM,Germany,Europe,1g,15,AJAXAMSTERDAM
product 4,1-50GR ⚽ II 4MMC / MEPHEDRONE / MCAT II DE-EU SHIPPING,Stimulants,4-MMC Mephedrone,Escrow,AJAXAMSTERDAM,Germany,Europe,1g,1,AJAXAMSTERDAM
product 5,10-300pc ⚽ II LA CASA DE PAPEL XTC 200MG II DE-EU SHIPPING,Ecstasy,Pills,Escrow,AJAXAMSTERDAM,Germany,Europe,10,1,AJAXAMSTERDAM
product 6,1-50GR ⚽ II MDMA CRYSTALS 84 II DE-EU SHIPPING,Ecstasy,MDMA,Escrow,AJAXAMSTERDAM,Germany,Europe,1g,1,AJAXAMSTERDAM
product 7,10-300pc ⚽ II  PP ROSE GOLD XTC 200MG II DE-EU SHIPPING,Ecstasy,Pills,Escrow,AJAXAMSTERDAM,Germany,Europe,10,1,AJAXAMSTERDAM
product 0,1-28g COCAINE HIGH QUALITY,Stimulants,Coke,Escrow,AK47DRUGZ,United States of America,United States of America,1g,60,AK47DRUGZ
product 0,Kamagra 100mg Jelly Week Pack | Shipped from Denmark!,Prescriptions,Potency enhancers,Escrow,alluserstakenwtf,Denmark,Europe,1,21,alluserstakenwtf
product 1,Tadalafil 20mg CIALIS | Shipped from Denmark!,Prescriptions,Potency enhancers,Escrow,alluserstakenwtf,Denmark,Europe,10,18,alluserstakenwtf
product 2,Champagne HQ MDMA 84% | Shipped from Denmark!,Ecstasy,MDMA,Escrow,alluserstakenwtf,Denmark,Europe,1g,40,alluserstakenwtf
product 3,Galenika Xanax/Alprazolam 1mg | Shipped from Denmark!,Benzodiazepines,Xanax,Escrow,alluserstakenwtf,Denmark,Europe,1,20,alluserstakenwtf
product 4,Cenforce 100mg VIAGRA/Sildenafil | Shipped from Denmark!,Prescriptions,Potency enhancers,Escrow,alluserstakenwtf,Denmark,Europe,10,18,alluserstakenwtf
product 0,★ Changa Shaman Mixture (w. 50% DMT) ★,Pyschedelic,DMT,FE,Alphaprincess,Germany,Worldwide,125mg,10,Alphaprincess
product 1,★ MDMA Crystals   ★,Ecstasy,MDMA,FE,Alphaprincess,Germany,Worldwide,1g,18,Alphaprincess
product 2,★ Purest Heroin - Persia Edition NEW  ★,Opiates,Heroin,FE,Alphaprincess,Germany,Worldwide,250mg,13,Alphaprincess
product 3,★ DMT Dimethyltryptamine Mimosa Bark Root★,Pyschedelic,DMT,FE,Alphaprincess,Germany,Worldwide,50mg,6,Alphaprincess
product 4,★ Changa Shaman Mixture Light (w. 35% DMT) ★,Pyschedelic,DMT,FE,Alphaprincess,Germany,Worldwide,125mg,9,Alphaprincess
product 5,★ Special White 3-MMC Crystals  - 3 Methylmethcathinon ★,Stimulants,3-MMC,FE,Alphaprincess,Germany,Worldwide,1g,20,Alphaprincess
product 6,★ Premium S-Ketamine Needles ★,Disassociatives,Ketamine,FE,Alphaprincess,Germany,Worldwide,1g,24,Alphaprincess
product 7,★XTC/Ecstasy Pills La casa the Papel Theme 260mg MDMA ★,Ecstasy,Pills,FE,Alphaprincess,Germany,Worldwide,3,22,Alphaprincess
product 0,Mdma Rocks Dutch Import 98% purity,Ecstasy,MDMA,Escrow,alpinechapo,Switzerland,Europe,2g,39,alpinechapo
product 1,96% Purity Cocaine Peruvian Straight Off Brick,Stimulants,Coke,Escrow,alpinechapo,Switzerland,Europe,0.5g,59,alpinechapo
product 2,Golden Ketama Hashish 3x filtered,Cannabis,Hash,Escrow,alpinechapo,Switzerland,Worldwide,1000mg,3499,alpinechapo
product 3,Ecstasy 320mg Dutch Quality Mdma,Ecstasy,Pills,Escrow,alpinechapo,Switzerland,Europe,2,29,alpinechapo
product 4,Yellow Batman 20mg 2cb pills,Pyschedelic,2C-x,Escrow,alpinechapo,Switzerland,Worldwide,2,35,alpinechapo
product 5,LSD 200ug Tabs HIGHEST QUALITY,Pyschedelic,LSD,Escrow,alpinechapo,Switzerland,Worldwide,2,39,alpinechapo
product 6,Golden Ketama Hashish 3x filtered,Cannabis,Hash,Escrow,alpinechapo,Switzerland,Worldwide,1000mg,3499,alpinechapo
product 7,Yellow Batman 20mg 2cb pills,Pyschedelic,2C-x,Escrow,alpinechapo,Switzerland,Worldwide,2,35,alpinechapo
product 0,Rivotril clonazepam 2mg  by Galenika,Benzodiazepines,Pills,Escrow,amigo27,Poland,Worldwide,10,8,amigo27
product 1,"Doreta 37,5mg Tramadol + 325mg Paracetamol",Opiates,Pills,Escrow,amigo27,Poland,Worldwide,10,12,amigo27
product 2,OXYCODONE 80mg Oxydolor Gerot,Opiates,Pills,Escrow,amigo27,Poland,Worldwide,10,80,amigo27
product 3,Brass Knuckles Vape pen + Brass Knuckles Vape Cartridge,Cannabis,Concentrates,Escrow,amigo27,Poland,Worldwide,1,40,amigo27
product 4,Tramadol Tramal Retard 150 150mg tramadoli STADA,Opiates,Pills,Escrow,amigo27,Poland,Worldwide,10,13,amigo27
product 5,Kamagra 100 Viagra sildenafil 100mg,Prescriptions,Other,Escrow,amigo27,Poland,Worldwide,4,7,amigo27
product 6,Cialis Vidalista 40 tadalafil 40mg,Prescriptions,Other,Escrow,amigo27,Poland,Worldwide,10,12,amigo27
product 7,KING COBRA 120 Viagra Sildenafil-120mg,Prescriptions,Other,Escrow,amigo27,Poland,Worldwide,5,14,amigo27
product 0,🇩🇪 II MDMA CHAMPAGNE ROCKS/CRYSTALS - DUTCH MADE,Ecstasy,MDMA,Escrow,AmsterdamBULK,Germany,Europe,1g,5,AmsterdamBULK
product 1,🇩🇪 II CRYSTAL METH EPEHDRINE ICE SHARDS IIHIGH QUALITY,Stimulants,Meth,Escrow,AmsterdamBULK,Germany,Europe,1g,8,AmsterdamBULK
product 2,🇩🇪 II LSD BLOTTERS HOFMANN 240UG II HIGH QUALITY,Pyschedelic,LSD,Escrow,AmsterdamBULK,Germany,Europe,25,35,AmsterdamBULK
product 3,🇩🇪 II 2CB NASA ROCKETS PILLS 30MG 2CB II HIGH QUALITY,Pyschedelic,2C-x,Escrow,AmsterdamBULK,Germany,Europe,5,5,AmsterdamBULK
product 4,🇩🇪 II HEROIN NR3 - AGHAN BATCH - EXTREME PURE,Opiates,Heroin,Escrow,AmsterdamBULK,Germany,Europe,1g,20,AmsterdamBULK
product 5,🇩🇪 II COCAINE COLUMBIAN FISHSCALE FLAKES 93% II UNCUT,Stimulants,Coke,Escrow,AmsterdamBULK,Germany,Europe,0.5g,10,AmsterdamBULK
product 6,🇩🇪 II LSD BLOTTERS ANONYMOUS 240UG II HIGH QUALITY,Pyschedelic,LSD,Escrow,AmsterdamBULK,Germany,Europe,5,5,AmsterdamBULK
product 7,🇩🇪 II PHARMA GRADE KETAMINE S-ISOMER SUGAR - 100% PURE,Disassociatives,Ketamine,Escrow,AmsterdamBULK,Germany,Europe,1g,5,AmsterdamBULK
product 0,SALE // 1GR-250GR ★★PURE UNCUT HEROIN #3  AGHAN IMPORT,Opiates,Heroin,Escrow,AmsterrdamNL,Netherlands,Europe,1g,25,AmsterrdamNL
product 1,SALE // 5GR-1KG ★★ PURE SPEED PASTE A-OIL AMPHETHAMINE,Stimulants,Speed,Escrow,AmsterrdamNL,Germany,Europe,5g,35,AmsterrdamNL
product 2,SALE // 10x-10.000x ★★ LSD TABS CALI SUNRISE 250UG,Pyschedelic,LSD,Escrow,AmsterrdamNL,Germany,Europe,10,30,AmsterrdamNL
product 3,SALE // 10x-10.000x ★★ 2CB PINK NASA ROCKETS 30MG 2CB,Pyschedelic,2C-x,Escrow,AmsterrdamNL,Netherlands,Europe,10,15,AmsterrdamNL
product 4,SALE // 1GR-250GR ★★ KETAMINE S-ISOMER CRYSTAL TYPE,Disassociatives,Ketamine,Escrow,AmsterrdamNL,Netherlands,Europe,1g,20,AmsterrdamNL
product 5,SALE // 10x-10.000x ★★ XTC BLUE PUNISHER 300MG MDMA,Ecstasy,Pills,Escrow,AmsterrdamNL,Netherlands,Europe,10,30,AmsterrdamNL
product 6,SALE // 1GR-250GR ★★ PURE 4MMC PRE-BAN MEPHEDRONE,Stimulants,4-MMC Mephedrone,Escrow,AmsterrdamNL,Germany,Europe,1g,20,AmsterrdamNL
product 7,SALE // 1GR-250GR ★★ CRYSTAL METH PURE EPHEDRINE SHARDS,Stimulants,Meth,Escrow,AmsterrdamNL,Germany,Europe,1g,25,AmsterrdamNL
product 0,1-100GR 🇩🇪  DRY SPEED ROCKS 78% PURE  II FREE 1GR II,Stimulants,Speed,Escrow,AMSTERXXXDAM,Germany,Europe,1g,1,AMSTERXXXDAM
product 1,10-1000PC  🇩🇪  VEDETTA 200UG LSD  II FREE 10 LSD II,Pyschedelic,LSD,Escrow,AMSTERXXXDAM,Germany,Europe,10,1,AMSTERXXXDAM
product 2,1-100GR  🇩🇪 COCAINE FISHSCALE / PETROL BATCH  II INTRO,Stimulants,Coke,Escrow,AMSTERXXXDAM,Germany,Europe,1g,45,AMSTERXXXDAM
product 3,10-1000PC  🇩🇪  2CB NASA 24MG  II INTRO,Pyschedelic,Other,Escrow,AMSTERXXXDAM,Germany,Europe,10,13,AMSTERXXXDAM
product 4,10-1000PC  🇩🇪  DARTHVADER XTC 265MG MDMA  II INTRO,Ecstasy,Pills,Escrow,AMSTERXXXDAM,Germany,Europe,10,13,AMSTERXXXDAM
product 5,1-100GR 🇩🇪  4MMC / MEOW MEOW POWDER II FREE 1GRAM II,Stimulants,4-MMC Mephedrone,Escrow,AMSTERXXXDAM,Germany,Europe,1g,1,AMSTERXXXDAM
product 6,10-1000PC  🇩🇪  SUNSHINE 200UG LSD  II INTRO II,Pyschedelic,LSD,Escrow,AMSTERXXXDAM,Germany,Europe,10,10,AMSTERXXXDAM
product 7,1-100GR  🇩🇪  CRYSTAL METH ICE II INTRO,Stimulants,Meth,Escrow,AMSTERXXXDAM,Germany,Europe,1g,15,AMSTERXXXDAM
product 0,Amphetamine Speed Sulfate Powder,Stimulants,Speed,Escrow,AngieValencia,Germany,Worldwide,0.5g,31,AngieValencia
product 1,Normal Amphetamine Speed Powder,Stimulants,Speed,FE,AngieValencia,Germany,Worldwide,1g,9,AngieValencia
product 2,LSD Microdots Crystal LSD 125ug,Pyschedelic,LSD,FE,AngieValencia,Germany,Worldwide,2,6,AngieValencia
product 3,HQ Pink Amphetamine Speed Powder,Stimulants,Speed,FE,AngieValencia,Germany,Worldwide,1g,11,AngieValencia
product 4,Pink Amphetamine Speed Powder,Stimulants,Speed,FE,AngieValencia,Germany,Worldwide,1g,9,AngieValencia
product 5,PURE Amphetamine Speed Powder,Stimulants,Speed,Escrow,AngieValencia,Germany,Worldwide,0.5g,29,AngieValencia
product 6,Pure Amphetamine Speed Paste Escrow,Stimulants,Speed,Escrow,AngieValencia,Germany,Worldwide,1g,8,AngieValencia
product 7,HQ Pink Amphetamine Speed Powder,Stimulants,Speed,Escrow,AngieValencia,Germany,Worldwide,1g,21,AngieValencia
product 0,A+ Runtz INDOOR,Cannabis,Buds & Flowers,Escrow,apeman420,United States of America,United States of America,1oz,87,apeman420
product 1,1 gram Cannabis Oil Vape Cart,Cannabis,Concentrates,Escrow,apeman420,United States of America,United States of America,10g,110,apeman420
product 2,Platinum Kush Indoor,Cannabis,Buds & Flowers,Escrow,apeman420,United States of America,United States of America,1oz,69,apeman420
product 3,Zkittlez INDOOR,Cannabis,Buds & Flowers,Escrow,apeman420,United States of America,United States of America,1oz,78,apeman420
product 4,Apple Fritter INDOOR,Cannabis,Buds & Flowers,Escrow,apeman420,United States of America,United States of America,1oz,96,apeman420
product 5,Dosidos INDOOR,Cannabis,Buds & Flowers,Escrow,apeman420,United States of America,United States of America,1oz,96,apeman420
product 6,Cannabis Kief,Cannabis,Buds & Flowers,Escrow,apeman420,United States of America,United States of America,2oz,101,apeman420
product 7,AAA+ White Truffle INDOOR,Cannabis,Buds & Flowers,Escrow,apeman420,United States of America,United States of America,1oz,115,apeman420
product 0,Intro Offer - 230mg MDMA Pills - A.C.A.B's,Ecstasy,Pills,Escrow,ApexSupplies1,Australia,Australia,5,101,ApexSupplies1
product 1,Intro Offer - Ketamine - PURE,Disassociatives,Ketamine,Escrow,ApexSupplies1,Australia,Australia,1g,95,ApexSupplies1
product 0,Masteron Enanthate 100mg/ml - 10ml - Germany - EU,Steroids,Injectable,Escrow,Apocalypselabs,Germany,Europe,1,23,Apocalypselabs
product 1,Aromasin (Exemestane) 25mg x 50 Caps Germany - EU,Steroids,Aromatase inhibitor,Escrow,Apocalypselabs,Germany,Europe,1,32,Apocalypselabs
product 2,Nolvadex (Tamoxifen) 25mg/mL 50 mL Vial - USA (2-3 day ship),Steroids,Post Cycle Therapy,Escrow,Apocalypselabs,United States of America,United States of America,1,23,Apocalypselabs
product 3,Testosterone Enanthate 250mg/ml - 10ml - Germany - EU,Steroids,Injectable,Escrow,Apocalypselabs,Germany,Europe,1,18,Apocalypselabs
product 4,Aromasin (Exemestane) 25mg/mL 50 mL Vial - USA(2-3 day ship),Steroids,Aromatase inhibitor,Escrow,Apocalypselabs,United States of America,United States of America,1,32,Apocalypselabs
product 5,Winstrol (stanozolol) 25mg x 50 Caps Germany - EU,Steroids,Oral,Escrow,Apocalypselabs,Germany,Europe,1,23,Apocalypselabs
product 6,Winstrol (stanozolol) 25mg/mL 50 mL Vial - USA(2-3 day ship),Steroids,Oral,Escrow,Apocalypselabs,United States of America,United States of America,1,23,Apocalypselabs
product 7,Tren Enanthate 100mg/ml - 10ml - USA (2-3 day shipping),Steroids,Injectable,Escrow,Apocalypselabs,United States of America,United States of America,1,28,Apocalypselabs
product 0,Cialis 20 mg,Prescriptions,Potency enhancers,Escrow,apotekdirekt,Sweden,Worldwide,50,43,apotekdirekt
product 1,VIAGRA 100 mg (112 According to lab result),Prescriptions,Potency enhancers,Escrow,apotekdirekt,Spain,Worldwide,100,35,apotekdirekt
product 2,Anavar 10 mg (Apex Labs),Steroids,Anabolic,Escrow,apotekdirekt,Sweden,Worldwide,100,78,apotekdirekt
product 3,Pump with one neeedle inkluded,Steroids,Anabolic,Escrow,apotekdirekt,Sweden,Worldwide,50,26,apotekdirekt
product 4,Trenbolone Acetate 10 ml Vial - ApexLabs,Steroids,Anabolic,Escrow,apotekdirekt,Sweden,Worldwide,1,42,apotekdirekt
product 5,Sustanol 10 ml (250 mg/ml) - ApexLabs,Steroids,Anabolic,Escrow,apotekdirekt,Sweden,Europe,1,35,apotekdirekt
product 6,Nolvadex 20 mg (Apex Labs),Steroids,Anabolic,Escrow,apotekdirekt,Sweden,Worldwide,50,43,apotekdirekt
product 7,Pregabalin Chrystal,Prescriptions,Pregabalin,Escrow,apotekdirekt,Sweden,Worldwide,40g,67,apotekdirekt
product 0,Belbien Zolpidem Blister,Benzodiazepines,Pills,Escrow,AREA51,Sweden,Worldwide,10,26,AREA51
product 1,Subutex ***Buprenorfin 8mg*** Subutex,Opiates,Pills,Escrow,AREA51,Sweden,Worldwide,1,13,AREA51
product 2,Galenika rivotril 2mg (Iktoviril)  - LÖSVIKT,Benzodiazepines,Pills,Escrow,AREA51,Sweden,Sweden,50,26,AREA51
product 3,Rivotril 2mg (IKTOVIRIL) blister,Benzodiazepines,Pills,Escrow,AREA51,Sweden,Sweden,10,17,AREA51
product 4,"Hasch ""UFO"" - mjuk och len! MELLANDAGSREA!",Cannabis,Hash,Escrow,AREA51,Sweden,Worldwide,5g,35,AREA51
product 5,Oxycontin 80mg Oxydolor,Opiates,Pills,Escrow,AREA51,Sweden,Worldwide,1,22,AREA51
product 6,Galenika Ksalol blister Alprazolam 1mg,Benzodiazepines,Pills,Escrow,AREA51,Sweden,Sweden,15,22,AREA51
product 7,"Zopiclone 7,5mg",Benzodiazepines,Z-drugs,Escrow,AREA51,Sweden,Sweden,10,17,AREA51
product 0,5mg Dexamfetamine | Dextroamphetamine | Aspen | Dexedrine,Stimulants,Speed,Escrow,ARealDoctor,Australia,Australia,30,183,ARealDoctor
product 1,5mg Dexamfetamine | Dextroamphetamine | Aspen | Dexed,Stimulants,Pills,Escrow,ARealDoctor,Australia,Australia,30,183,ARealDoctor
product 0,Psilocybe Cubensis Magic Mushrooms,Pyschedelic,Mushrooms,FE,AshWilliams,Slovenia,Worldwide,2g,13,AshWilliams
product 1,Spore Print Psilocybe Cubensis var. Cambodia,Pyschedelic,Mushrooms,FE,AshWilliams,Slovenia,Worldwide,1,20,AshWilliams
product 2,Spore Print Psilocybe Cubensis Mexican Dutch King,Pyschedelic,Mushrooms,FE,AshWilliams,Slovenia,Worldwide,1,20,AshWilliams
product 0,【TOP Meth】CRYSTAL Meth ICE Rock,Stimulants,Meth,Escrow,AvbeaAU,Australia,Australia,0.5g,128,AvbeaAU
product 1,【High Quality Meth】 HYALINE Meth ICE,Stimulants,Meth,Escrow,AvbeaAU,Australia,Australia,0.5g,128,AvbeaAU
product 2,【New Meth A+】CRYSTAL Meth ICE ROCK,Stimulants,Meth,Escrow,AvbeaAU,Australia,Australia,0.5g,128,AvbeaAU
product 0,1 Gram Cocaine - High Quality - One G - FAST SHIP - US to US,Stimulants,Coke,Escrow,BallzXpress,United States of America,United States of America,1g,45,BallzXpress
product 0,Louis Vuitton (2€g) Kampanj! 10-50%!,Cannabis,Hash,Escrow,BanditenFS,Sweden,Worldwide,2g,9,BanditenFS
product 1,Purple Haze,Cannabis,Hash,Escrow,BanditenFS,Sweden,Worldwide,2g,9,BanditenFS
product 0,💦 🇩🇪 II 4MMC MEPHEDRONE MCAT 💦 🇩🇪 II,Stimulants,4-MMC Mephedrone,Escrow,Barleduc,Germany,Europe,1g,6,Barleduc
product 1,💦 🇩🇪 II  2CB NASA ROCKET 24MG 💦 🇩🇪 II,Pyschedelic,2C-x,Escrow,Barleduc,Germany,Europe,10,13,Barleduc
product 2,💦 🇩🇪 II  GOLD PHILIPP PLEIN 200MG II 💦 🇩🇪,Pyschedelic,2C-x,Escrow,Barleduc,Germany,Europe,10,13,Barleduc
product 3,💦 🇩🇪 II FUSION SKULL HEAD 200UG II 💦 🇩🇪,Pyschedelic,LSD,Escrow,Barleduc,Germany,Europe,10,10,Barleduc
product 4,💦 🇩🇪 II HASH CRITICAL MAROC   II FREE SAMPLES,Cannabis,Hash,Escrow,Barleduc,Germany,Europe,1g,1,Barleduc
product 5,💦 🇩🇪 II DRY SPEED A-OIL  💦 🇩🇪 II,Ecstasy,MDMA,Escrow,Barleduc,Germany,Europe,1g,6,Barleduc
product 6,💦 🇩🇪 II MDMA 84% CRYSTALS  II FREE SAMPLES,Ecstasy,MDMA,Escrow,Barleduc,Iceland,Europe,1g,1,Barleduc
product 7,💦 🇩🇪 II  ORANGE PUNISHER 200MG  II FREE SAMPLES,Ecstasy,Pills,Escrow,Barleduc,Germany,Europe,10,1,Barleduc
product 0,MDMA Purple Moonrocks,Ecstasy,MDMA,Escrow,BCPremo,Canada,Worldwide,3.5g,58,BCPremo
product 1,#4 Canadian Heroin,Opiates,Heroin,Escrow,BCPremo,Canada,Worldwide,0.5g,58,BCPremo
product 2,Famous West Coast Pebble Heroin,Opiates,Heroin,Escrow,BCPremo,Canada,Worldwide,0.5g,58,BCPremo
product 3,Canadian West Coast Crystal Meth FIRE!!,Stimulants,Meth,Escrow,BCPremo,Canada,Worldwide,1g,41,BCPremo
product 4,Direct Import Fishscale High Heat Cocaine ON SALE!,Stimulants,Coke,Escrow,BCPremo,Canada,Worldwide,0.5g,34,BCPremo
product 5,# 4 TURKISH Imported Clean Long Euphoric - PURE,Opiates,Heroin,Escrow,BCPremo,Canada,Worldwide,0.5g,58,BCPremo
product 6,Ecstasy Molly Pills DESIGNER,Ecstasy,Pills,Escrow,BCPremo,Canada,Worldwide,5,27,BCPremo
product 7,Direct Import Fish-Scale High Heat Crack,Stimulants,Crack,Escrow,BCPremo,Canada,Worldwide,0.5g,48,BCPremo
product 0,SOCIAL COKE (SNORTING ONLY),Stimulants,Coke,Escrow,bearft2,United States of America,United States of America,3g,92,bearft2
product 1,90% PURE COCAINE,Stimulants,Coke,Escrow,bearft2,United States of America,United States of America,1g,92,bearft2
product 2,98% PURE COCAINE (ITS PERFECT),Stimulants,Coke,Escrow,bearft2,United States of America,United States of America,1g,115,bearft2
product 3,PHARMA GRADE ADDERALL,Stimulants,Pills,Escrow,bearft2,United States of America,United States of America,25,138,bearft2
product 4,PURE CRACK (THE BEST) 80'S CRACK,Stimulants,Crack,Escrow,bearft2,United States of America,United States of America,1g,110,bearft2
product 0,Ksalol 1mg - [NORGE - OSLO] Pris från: 399 kr!,Benzodiazepines,Pills,Escrow,BenzoZenter,Norway,Norway,25,35,BenzoZenter
product 1,"Rivotril 2mg - Karta - JustNu, fr. 2,7 kr/tab",Benzodiazepines,Pills,Escrow,BenzoZenter,Sweden,Sweden,30,17,BenzoZenter
product 2,"Ksalol 1mg - Karta - JustNu, fr. 2,7 kr/tab",Benzodiazepines,Pills,Escrow,BenzoZenter,Sweden,Sweden,30,17,BenzoZenter
product 0,Methamphetamine - METH Ice HIGH QUALITY ---- FREE SHIPPING,Stimulants,Meth,Escrow,BERGHAIN,Germany,Worldwide,1g,33,BERGHAIN
product 1,AMPHETAMINE SPEED PURE 100%  INJECTION!!!   FREE SHPIING!!!,Stimulants,Speed,Escrow,BERGHAIN,Germany,Worldwide,5g,30,BERGHAIN
product 2,XTC MDMA PILLS 280MG BLEU PUNISHER - FREE SHIPPING,Ecstasy,Pills,Escrow,BERGHAIN,Germany,Worldwide,15,30,BERGHAIN
product 3,XANAX 4MG  -- FREE SHIPPING,Benzodiazepines,Xanax,Escrow,BERGHAIN,Germany,Worldwide,15,29,BERGHAIN
product 4,MDMA CHAMPAGNE 84% (+) - FREE SHIPPING,Ecstasy,MDMA,Escrow,BERGHAIN,Germany,Worldwide,3g,31,BERGHAIN
product 5,ORG 200 XTC,Ecstasy,Pills,Escrow,BERGHAIN,Germany,Worldwide,200,300,BERGHAIN
product 6,HEROIN PURE AFGHAN  -- FREE SHIPPING,Opiates,Heroin,Escrow,BERGHAIN,Germany,Worldwide,1g,34,BERGHAIN
product 7,KETAMINE NEEDLE S-ISOMER SHARDS TOP QUALITY - FREE SHIPPING,Disassociatives,Ketamine,Escrow,BERGHAIN,Germany,Worldwide,2g,25,BERGHAIN
product 0,MEDICINSK CANNABISOLJA GJORD PÅ KOKOSOLJA INTROREA!,Cannabis,Concentrates,Escrow,BestaKundservice,Sweden,Sweden,1,18,BestaKundservice
product 1,SUPERREA RITALIN SNABBVERKANDE NOVARTIS 10 MG SVENSKT APOTEK,Stimulants,Smartdrugs,Escrow,BestaKundservice,Sweden,Sweden,5,22,BestaKundservice
product 2,🍫UTFÖRSÄLJNING!CUPRA-MÖRK MJUK-SJUKT LÅGA PRISER🍫,Cannabis,Hash,Escrow,BestaKundservice,Sweden,Sweden,5g,21,BestaKundservice
product 3,!!INTROPRISER BÄST PRIS PÅ FS!!! REN MDMA CHAMPAGNE 24H,Ecstasy,MDMA,Escrow,BestaKundservice,Sweden,Sweden,1g,17,BestaKundservice
product 4,★!INTROREA!★FRANSKA SUBUTEX BUPRENORFIN 8 MG 24H BLISTER,Opiates,Opiate Substitutes,Escrow,BestaKundservice,Sweden,Sweden,1,18,BestaKundservice
